data_type,dataset,algorithm,timing_repetitions,platform_time_s,base_time_s,overhead_s,speedup_base_over_platform,platform_roc_auc_scores,base_roc_auc_scores,roc_auc_diff,platform_pr_auc_scores,base_pr_auc_scores,pr_auc_diff,dataset_name
static,arrhythmia,isolationForest,3,3.4179,3.8487,-0.4308,1.126,0.7429,0.6571,0.0858,0.259,0.2348,0.0242,
static,arrhythmia,clusterAnomaly,3,0.1365,0.0975,0.039,0.714,0.7429,0.7429,0.0,0.5207,0.5207,0.0,
static,arrhythmia,pcaAnomaly,3,0.8352,0.4615,0.3737,0.5525,0.7673,0.7673,0.0,0.5309,0.5309,0.0,
static,shuttle,clusterAnomaly,3,0.1718,0.1659,0.0059,0.9657,0.9719,0.9681,0.0038,0.8251,0.7926,0.0325,
static,shuttle,pcaAnomaly,3,0.0971,0.0929,0.0042,0.9567,0.7974,0.7974,0.0,0.586,0.586,0.0,
static,shuttle,isolationForest,3,3.9139,3.7301,0.1839,0.953,0.9208,0.9195,0.0013,0.6817,0.6764,0.0053,
time_series,ai4i,deepCNN_LSTM,1,58.0987,58.9432,-0.8445,1.0145,0.8528,0.8867,-0.0339,0.118,0.1417,-0.0237,ai4i_2020_predictive_maintenance_dataset
time_series,ai4i,autoencoder,1,35.0265,33.7133,1.3132,0.9625,0.4634,0.5062,-0.0428,0.3197,0.3496,-0.0299,ai4i_2020_predictive_maintenance_dataset
time_series,metro_interstate,autoencoder,1,74.1797,78.4012,-4.2215,1.0569,0.4425,0.4649,-0.0224,0.7126,0.7262,-0.0136,metro_interstate_traffic_volume
time_series,metro_interstate,deepCNN_LSTM,1,154.8378,146.9297,7.9081,0.9489,0.5194,0.5145,0.0049,0.1025,0.1008,0.0017,metro_interstate_traffic_volume
