dataset,algorithm,contamination,accuracy,precision,recall,f1,roc_auc_scores,pr_auc_scores
arrhythmia,hbos,0.0926,0.7963,0.25,0.6,0.3529,0.8286,0.5417
arrhythmia,knn,0.0926,0.7593,0.2143,0.6,0.3158,0.7755,0.4641
arrhythmia,cblof,0.0926,0.7778,0.2667,0.8,0.4,0.7837,0.4637
arrhythmia,ocsvm,0.0926,0.7222,0.1875,0.6,0.2857,0.751,0.4626
arrhythmia,iforest,0.0926,0.8889,0.4444,0.8,0.5714,0.8327,0.4041
arrhythmia,lof,0.0926,0.8148,0.2222,0.4,0.2857,0.751,0.3796
shuttle,knn,0.1036,0.9186,0.5605,0.9923,0.7164,0.9933,0.9505
shuttle,lof,0.1036,0.8972,0.502,0.9923,0.6667,0.9876,0.8582
shuttle,cblof,0.1036,0.8928,0.4896,0.8205,0.6133,0.9571,0.7632
shuttle,ocsvm,0.1036,0.8734,0.4238,0.6178,0.5027,0.9094,0.6846
shuttle,iforest,0.1036,0.8684,0.4121,0.6332,0.4992,0.8831,0.6227
shuttle,hbos,0.1036,0.866,0.3953,0.5541,0.4614,0.8819,0.4521
