dataset_key,dataset_name,model_order,model_display_name,algorithm,window_size,n_features,train_windows,test_windows,timing_repetitions,platform_status,base_status,platform_error_message,base_error_message,average_platform_time_s,average_base_time_s,overhead_s,speedup_base_over_platform,platform_mse,base_mse,mse_diff
ai4i,ai4i_2020_predictive_maintenance_dataset,1,OhShuLih,ohshulih,24,5,7977,1977,3,ok,ok,,,4.6105,4.1694,0.4411,0.9043,0.462775,0.46438,-0.001605
ai4i,ai4i_2020_predictive_maintenance_dataset,2,GaoJunLi,gaojunli,24,5,7977,1977,3,ok,ok,,,2.9106,2.8733,0.0373,0.9872,0.464318,0.462828,0.00149
ai4i,ai4i_2020_predictive_maintenance_dataset,3,KongZhengmin,kongzhengmin,24,5,7977,1977,3,failed,failed,max_pool1d() Invalid computed output size: 0,max_pool1d() Invalid computed output size: 0,,,,,,,
ai4i,ai4i_2020_predictive_maintenance_dataset,4,CaiWenjuan,caiwenjuan,24,5,7977,1977,3,failed,failed,Given input size: (43x1x1). Calculated output size: (43x1x0). Output size is too small,Given input size: (43x1x1). Calculated output size: (43x1x0). Output size is too small,,,,,,,
ai4i,ai4i_2020_predictive_maintenance_dataset,5,WangKejun,wangkejun,24,5,7977,1977,3,failed,failed,max_pool1d() Invalid computed output size: 0,max_pool1d() Invalid computed output size: 0,,,,,,,
ai4i,ai4i_2020_predictive_maintenance_dataset,6,ZhengZhenyu,zhengzhenyu,24,5,7977,1977,3,failed,failed,max_pool1d() Invalid computed output size: 0,max_pool1d() Invalid computed output size: 0,,,,,,,
ai4i,ai4i_2020_predictive_maintenance_dataset,7,KimTaeYoung,kimtaeyoung,24,5,7977,1977,3,ok,ok,,,3.9499,3.982,-0.0321,1.0081,0.44811,0.446796,0.001314
ai4i,ai4i_2020_predictive_maintenance_dataset,8,FuJiangmeng,fujiangmeng,24,5,7977,1977,3,ok,ok,,,5.3031,5.4609,-0.1578,1.0298,0.450814,0.451868,-0.001054
ai4i,ai4i_2020_predictive_maintenance_dataset,9,ShiHaotian,shihaotian,24,5,7977,1977,3,failed,failed,Calculated padded input size per channel: (5). Kernel size: (13). Kernel size can't be greater than actual input size,Calculated padded input size per channel: (5). Kernel size: (13). Kernel size can't be greater than actual input size,,,,,,,
ai4i,ai4i_2020_predictive_maintenance_dataset,10,SharPar,sharpar,24,5,7977,1977,3,ok,ok,,,4.9986,4.9119,0.0867,0.9827,0.443369,0.444795,-0.001426
ai4i,ai4i_2020_predictive_maintenance_dataset,11,HongTan,hongtan,24,5,7977,1977,3,failed,failed,max_pool1d() Invalid computed output size: 0,max_pool1d() Invalid computed output size: 0,,,,,,,
ai4i,ai4i_2020_predictive_maintenance_dataset,12,HtetMyetLynn,htetmyetlynn,24,5,7977,1977,3,failed,failed,max_pool1d() Invalid computed output size: 0,max_pool1d() Invalid computed output size: 0,,,,,,,
ai4i,ai4i_2020_predictive_maintenance_dataset,13,LihOhShu,liohshu,24,5,7977,1977,3,failed,failed,Calculated padded input size per channel: (5). Kernel size: (20). Kernel size can't be greater than actual input size,Calculated padded input size per channel: (5). Kernel size: (20). Kernel size can't be greater than actual input size,,,,,,,
ai4i,ai4i_2020_predictive_maintenance_dataset,14,YiboGao,yibogao,24,5,7977,1977,3,failed,failed,max_pool1d() Invalid computed output size: 0,max_pool1d() Invalid computed output size: 0,,,,,,,
ai4i,ai4i_2020_predictive_maintenance_dataset,15,YaoQihang,yaoqihang,24,5,7977,1977,3,failed,failed,max_pool1d() Invalid computed output size: 0,max_pool1d() Invalid computed output size: 0,,,,,,,
ai4i,ai4i_2020_predictive_maintenance_dataset,16,YildirimOzal,yildirimozal,24,5,7977,1977,3,failed,failed,YildirimOzal_Forecaster.__init__() missing 1 required positional argument: 'in_features',YildirimOzal_Forecaster.__init__() missing 1 required positional argument: 'in_features',,,,,,,
ai4i,ai4i_2020_predictive_maintenance_dataset,17,ZhangJin,zhangjin,24,5,7977,1977,3,failed,failed,ZhangJin_Forecaster.__init__() missing 1 required positional argument: 'in_features',ZhangJin_Forecaster.__init__() missing 1 required positional argument: 'in_features',,,,,,,
ai4i,ai4i_2020_predictive_maintenance_dataset,18,WeiXiaoyan,weixiaoyan,24,5,7977,1977,3,failed,failed,max_pool1d() Invalid computed output size: 0,max_pool1d() Invalid computed output size: 0,,,,,,,
ai4i,ai4i_2020_predictive_maintenance_dataset,19,KhanZulfiqar,khanzulfiqar,24,5,7977,1977,3,failed,failed,Calculated padded input size per channel: (5). Kernel size: (20). Kernel size can't be greater than actual input size,Calculated padded input size per channel: (5). Kernel size: (20). Kernel size can't be greater than actual input size,,,,,,,
ai4i,ai4i_2020_predictive_maintenance_dataset,20,ChenChen,chenchen,24,5,7977,1977,3,failed,failed,max_pool1d() Invalid computed output size: 0,max_pool1d() Invalid computed output size: 0,,,,,,,
ai4i,ai4i_2020_predictive_maintenance_dataset,21,GenMinxing,genminxing,24,5,7977,1977,3,failed,failed,"input.size(-1) must be equal to input_size. Expected 24, got 5","input.size(-1) must be equal to input_size. Expected 24, got 5",,,,,,,
ai4i,ai4i_2020_predictive_maintenance_dataset,22,HuangMeiLing,huangmeiling,24,5,7977,1977,3,failed,failed,Calculated padded input size per channel: (7). Kernel size: (15). Kernel size can't be greater than actual input size,Calculated padded input size per channel: (7). Kernel size: (15). Kernel size can't be greater than actual input size,,,,,,,
ai4i,ai4i_2020_predictive_maintenance_dataset,23,DaiXiLi,daixili,24,5,7977,1977,3,failed,failed,mat1 and mat2 shapes cannot be multiplied (1024x1 and 250x16),mat1 and mat2 shapes cannot be multiplied (1024x1 and 250x16),,,,,,,
metro_interstate,metro_interstate_traffic_volume,1,OhShuLih,ohshulih,24,4,38540,9618,3,ok,ok,,,21.3272,20.1179,1.2093,0.9433,0.143984,0.144094,-0.00011
metro_interstate,metro_interstate_traffic_volume,2,GaoJunLi,gaojunli,24,4,38540,9618,3,ok,ok,,,14.0418,11.7418,2.3,0.8362,0.203648,0.205603,-0.001955
metro_interstate,metro_interstate_traffic_volume,3,KongZhengmin,kongzhengmin,24,4,38540,9618,3,failed,failed,Calculated padded input size per channel: (4). Kernel size: (5). Kernel size can't be greater than actual input size,Calculated padded input size per channel: (4). Kernel size: (5). Kernel size can't be greater than actual input size,,,,,,,
metro_interstate,metro_interstate_traffic_volume,4,CaiWenjuan,caiwenjuan,24,4,38540,9618,3,failed,failed,Given input size: (43x1x1). Calculated output size: (43x1x0). Output size is too small,Given input size: (43x1x1). Calculated output size: (43x1x0). Output size is too small,,,,,,,
metro_interstate,metro_interstate_traffic_volume,5,WangKejun,wangkejun,24,4,38540,9618,3,failed,failed,max_pool1d() Invalid computed output size: 0,max_pool1d() Invalid computed output size: 0,,,,,,,
metro_interstate,metro_interstate_traffic_volume,6,ZhengZhenyu,zhengzhenyu,24,4,38540,9618,3,failed,failed,max_pool1d() Invalid computed output size: 0,max_pool1d() Invalid computed output size: 0,,,,,,,
metro_interstate,metro_interstate_traffic_volume,7,KimTaeYoung,kimtaeyoung,24,4,38540,9618,3,failed,failed,max_pool1d() Invalid computed output size: 0,max_pool1d() Invalid computed output size: 0,,,,,,,
metro_interstate,metro_interstate_traffic_volume,8,FuJiangmeng,fujiangmeng,24,4,38540,9618,3,ok,ok,,,20.0822,19.8437,0.2385,0.9881,0.146366,0.147689,-0.001323
metro_interstate,metro_interstate_traffic_volume,9,ShiHaotian,shihaotian,24,4,38540,9618,3,failed,failed,Calculated padded input size per channel: (4). Kernel size: (13). Kernel size can't be greater than actual input size,Calculated padded input size per channel: (4). Kernel size: (13). Kernel size can't be greater than actual input size,,,,,,,
metro_interstate,metro_interstate_traffic_volume,10,SharPar,sharpar,24,4,38540,9618,3,ok,ok,,,16.7469,17.5654,-0.8185,1.0489,0.147117,0.144347,0.00277
metro_interstate,metro_interstate_traffic_volume,11,HongTan,hongtan,24,4,38540,9618,3,failed,failed,Calculated padded input size per channel: (4). Kernel size: (5). Kernel size can't be greater than actual input size,Calculated padded input size per channel: (4). Kernel size: (5). Kernel size can't be greater than actual input size,,,,,,,
metro_interstate,metro_interstate_traffic_volume,12,HtetMyetLynn,htetmyetlynn,24,4,38540,9618,3,failed,failed,max_pool1d() Invalid computed output size: 0,max_pool1d() Invalid computed output size: 0,,,,,,,
metro_interstate,metro_interstate_traffic_volume,13,LihOhShu,liohshu,24,4,38540,9618,3,failed,failed,Calculated padded input size per channel: (4). Kernel size: (20). Kernel size can't be greater than actual input size,Calculated padded input size per channel: (4). Kernel size: (20). Kernel size can't be greater than actual input size,,,,,,,
metro_interstate,metro_interstate_traffic_volume,14,YiboGao,yibogao,24,4,38540,9618,3,failed,failed,max_pool1d() Invalid computed output size: 0,max_pool1d() Invalid computed output size: 0,,,,,,,
metro_interstate,metro_interstate_traffic_volume,15,YaoQihang,yaoqihang,24,4,38540,9618,3,failed,failed,max_pool1d() Invalid computed output size: 0,max_pool1d() Invalid computed output size: 0,,,,,,,
metro_interstate,metro_interstate_traffic_volume,16,YildirimOzal,yildirimozal,24,4,38540,9618,3,failed,failed,YildirimOzal_Forecaster.__init__() missing 1 required positional argument: 'in_features',YildirimOzal_Forecaster.__init__() missing 1 required positional argument: 'in_features',,,,,,,
metro_interstate,metro_interstate_traffic_volume,17,ZhangJin,zhangjin,24,4,38540,9618,3,failed,failed,ZhangJin_Forecaster.__init__() missing 1 required positional argument: 'in_features',ZhangJin_Forecaster.__init__() missing 1 required positional argument: 'in_features',,,,,,,
metro_interstate,metro_interstate_traffic_volume,18,WeiXiaoyan,weixiaoyan,24,4,38540,9618,3,failed,failed,Calculated padded input size per channel: (4). Kernel size: (5). Kernel size can't be greater than actual input size,Calculated padded input size per channel: (4). Kernel size: (5). Kernel size can't be greater than actual input size,,,,,,,
metro_interstate,metro_interstate_traffic_volume,19,KhanZulfiqar,khanzulfiqar,24,4,38540,9618,3,failed,failed,Calculated padded input size per channel: (4). Kernel size: (20). Kernel size can't be greater than actual input size,Calculated padded input size per channel: (4). Kernel size: (20). Kernel size can't be greater than actual input size,,,,,,,
metro_interstate,metro_interstate_traffic_volume,20,ChenChen,chenchen,24,4,38540,9618,3,failed,failed,Calculated padded input size per channel: (4). Kernel size: (5). Kernel size can't be greater than actual input size,Calculated padded input size per channel: (4). Kernel size: (5). Kernel size can't be greater than actual input size,,,,,,,
metro_interstate,metro_interstate_traffic_volume,21,GenMinxing,genminxing,24,4,38540,9618,3,failed,failed,"input.size(-1) must be equal to input_size. Expected 24, got 4","input.size(-1) must be equal to input_size. Expected 24, got 4",,,,,,,
metro_interstate,metro_interstate_traffic_volume,22,HuangMeiLing,huangmeiling,24,4,38540,9618,3,failed,failed,Calculated padded input size per channel: (6). Kernel size: (15). Kernel size can't be greater than actual input size,Calculated padded input size per channel: (6). Kernel size: (15). Kernel size can't be greater than actual input size,,,,,,,
metro_interstate,metro_interstate_traffic_volume,23,DaiXiLi,daixili,24,4,38540,9618,3,failed,failed,mat1 and mat2 shapes cannot be multiplied (1024x1 and 250x16),mat1 and mat2 shapes cannot be multiplied (1024x1 and 250x16),,,,,,,
